Time,x,y,u,v,theta,m,U1,U2
0.0,5.00005653569708,1.9997629764015556,2.0000820028847706,4.000334040981427,0.07859920615098699,9999.996827532192,-0.027217724602441824,-1.3535514229316918
0.5235877489258678,6.074718976423546,2.7121845518776473,2.0845796012424964,-0.13787728810815014,0.03589406242986335,9995.090551266852,0.5761042569557514,-1.0691330796668943
1.0471754978517356,7.065033118731428,1.760463483732055,1.9831489627635963,-2.31370356235901,-0.013307148628946849,9985.050031162056,1.2777046004633952,-1.4503177520866561
1.5707632467776034,8.09473216001435,0.4367656625988101,1.8686371134742044,-2.751892745483749,-0.058820627080509245,9971.58095360609,1.4295273753786295,-1.0292867508252388
2.094350995703471,9.190132943622277,-0.9437030243338238,1.6572212532067205,-3.1246223834653106,-0.10352398968070162,9957.76508821008,1.3996815373449925,-1.3693683387851507
2.617938744629339,9.975162328557387,-2.511716124286436,1.3070175872381202,-3.2273916573612618,-0.16085156181040053,9943.15531971597,1.6705321243841533,-1.3525598694135328
3.1415264935552067,10.656799004333534,-4.23712320382448,0.45229626315373145,-3.2507487236470203,-0.22113035222636426,9929.23291842483,1.1925328805070954,-1.6970415825800573
3.6651142424810743,10.362039407321902,-5.832263824531147,-0.4783098905686813,-2.8743800282086083,-0.2234339737341496,9916.272301940513,1.4013569080553432,1.0033927355635874
4.188701991406942,9.961019993655315,-6.830690422685693,-0.6016233014637326,-1.2263550436510566,-0.18092718931044374,9902.668104451035,1.400805472518149,1.0291612887548751
4.71228974033281,9.545351670003472,-7.173257660006005,-1.3116754533402748,0.3045076414463159,-0.14095773113537455,9888.583557186792,1.5093178240255187,1.4797908707655207
5.235877489258678,8.436280976689316,-6.889610471768197,-2.052601277632377,1.0338175630209434,-0.09190412773578262,9874.92521504491,1.2635416768265346,1.1219818309281941
5.7594652381845455,7.263678538385473,-6.541987950419071,-2.4016285423798465,0.6044625829823985,-0.048605631288900074,9861.76213966319,1.4055195596991243,1.1291102101173733
6.2830529871104135,5.930808193766078,-6.179949213048841,-2.6926387333210933,0.3489546140100805,-0.010870143162192992,9848.348427592235,1.3390919038039744,1.0164873460004928
6.8066407360362815,4.397838426167004,-6.303903232684822,-2.699578165147474,0.0024268022863996944,0.03021178547210639,9835.064839074863,1.3533963843828805,1.1378056602496935
7.330228484962149,3.0663977732632,-5.9627385951982435,-2.2974204072149766,0.8727709700854475,0.08288472264475866,9821.420603546338,1.453072510539476,1.5616090601016985
7.853816233888017,1.8938375291662464,-5.5060403748673945,-1.6459971685689996,1.9571273403922256,0.13634109367203096,9808.154440718532,1.2571030208152496,1.4420892276870094
8.377403982813885,1.1824918800918476,-4.461945471085115,-1.0624654781975347,2.5495066796544377,0.1529497669630683,9795.69274309635,1.233758858337121,-0.563623590113678
8.900991731739753,0.5600163486082104,-3.0817738194830993,-0.7687058387419019,3.016827630038651,0.1255069718276175,9782.83443473259,1.3771233034587635,-1.034839159162911
9.42457948066562,0.17666005443277474,-1.7602502220038911,-0.349934853044673,2.556312310539129,0.08464352577771633,9769.767380883108,1.2716762011111324,-1.040166821139597
9.948167229591489,0.03729029988942693,-0.42722928201354216,-0.1046443927788962,1.7202039654924937,0.044213084056363455,9756.850603048351,1.3279190983125546,-1.0387647238545874
10.471754978517355,4.274986668154686e-06,4.134093210145838e-05,0.0001233191082532456,-0.0005135424427381442,0.0001072758954825472,9744.132180106608,1.1849540072756355,-1.1394548671482552
