Time,x,y,u,v,theta,m,U1,U2
0.0,4.999969231229294,2.000002159596666,2.0000007382894713,4.000033601029343,0.07853258276321289,9999.999038812983,-0.4721789592962459,-4.62499859042684
0.3899558922077035,5.17522771426844,2.204119663761176,1.9417553606498683,1.9614890243501606,0.01354507355255174,9954.080602158487,0.17372445389284122,-1.4282336400894287
0.779911784415407,5.375689862173799,1.933041048863483,1.9489243527209763,1.279834835559882,-0.012566821290563836,9903.833160954451,1.22413428420056,-1.3806626013518475
1.1698676766231104,5.619069285281816,1.6882338126575815,1.9182048705278734,1.4598654449308093,-0.041728329992054,9850.70920407552,1.2256290101039087,-1.3327494974972034
1.559823568830814,5.89579848382078,1.5775483469150982,1.8304556787980186,1.594595177130879,-0.07392992562152566,9797.8894158346,1.2005013602980465,-1.2854243883881797
1.9497794610385175,6.166958952039594,1.5535703875261615,1.629902878881788,1.6172519349767263,-0.11033331194027715,9745.335303930777,1.1855523543557533,-1.378342562181754
2.339735353246221,6.382009051076716,1.5818981379488477,1.3198076241225263,1.5324525480112277,-0.1585713354677,9692.964040669645,1.1935473746284273,-1.872636839142464
2.7296912454539246,6.470426337600818,1.5955147376139172,0.8382718469461244,1.3681050398351782,-0.18777363854736812,9640.845301168018,1.1736304900521863,-0.03113307132142952
3.119647137661628,6.3734931103281625,1.56698779065342,0.3180316890135602,1.1671751305297355,-0.17231359755278902,9588.906857723912,1.1978628451966145,1.285463158974481
3.5096030298693313,6.083481193138248,1.4874770187589719,-0.18853770767245878,1.0199701386625222,-0.13781638734407703,9536.900705499836,1.2283806706516747,1.2616779161701095
3.899558922077035,5.612063820964681,1.4050695604311272,-0.6039258453660414,0.8983867464011549,-0.10195014681917643,9484.824989344643,1.246305444527766,1.2380165568056696
4.289514814284739,4.996946411569987,1.30133263986439,-0.9744312978322984,0.7299304668940673,-0.06225471920024014,9432.883994048647,1.2686316152574615,1.5285113149779412
4.679470706492442,4.264329498256964,1.141452396074438,-1.2194016080301207,0.567925003736403,-0.024579421806468393,9380.89489834563,1.292478668100565,1.1906627740957054
5.0694265987001454,3.4748881224934687,0.9789196105221039,-1.3325368872786074,0.4830533885517459,0.015501038151895226,9328.695618438625,1.3512623353807591,1.7891170518615445
5.459382490907849,2.6847449967211547,0.8360533459375811,-1.3003863785042795,0.4456520914168505,0.05508886825544277,9276.298425062807,1.433751073750109,1.2169179308657778
5.849338383115552,1.9374719764001056,0.7011353322173944,-1.188659844559285,0.3663999074454617,0.08997103338352959,9223.995422350563,1.3636782434296713,1.5832677055081812
6.239294275323256,1.2726989776843396,0.5587427615371856,-0.9637343797855485,0.19468839255582218,0.12350491053706432,9171.938804440624,1.3874439078348983,1.285504885263277
6.62925016753096,0.7378044539105061,0.38070927619682193,-0.639522487846829,0.021425334068075848,0.14357832434326107,9119.844693828394,1.4112114356136891,0.9615296009912012
7.0192060597386625,0.36984959250882543,0.20104054255454634,-0.288709567677558,-0.052220496635962906,0.12397149348049134,9067.418932020659,1.5454542639170434,-1.4281566185367802
7.409161951946366,0.14487084343558324,0.05511849939611754,-0.0710080726807989,0.03317846028077365,0.06438518167814629,9014.604203592402,1.5841619251659318,-1.6390228549636763
7.79911784415407,1.8692160254652257e-05,1.1568565180824611e-05,1.4544229678487936e-05,-1.6368170599716404e-05,2.911050075521734e-06,8962.077580225674,1.4791780709525626,-1.475809487295933
